wall_time,elapsed_s,event_type,event_button,event_axis,event_value,event_hat,pressed_buttons,axes,hats
2026-06-17T21:26:10.524,2.0593,JOYAXISMOTION,,2,1.0,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.574,2.1095,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.624,2.1597,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.675,2.2099,JOYAXISMOTION,,2,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.725,2.2601,JOYAXISMOTION,,5,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
2026-06-17T21:26:10.725,2.2601,JOYAXISMOTION,,5,1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
2026-06-17T21:26:10.775,2.3104,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
2026-06-17T21:26:10.825,2.3606,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
2026-06-17T21:26:10.875,2.4108,JOYAXISMOTION,,5,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:10.926,2.461,JOYAXISMOTION,,5,1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
2026-06-17T21:26:10.976,2.5112,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
2026-06-17T21:26:11.026,2.5614,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
2026-06-17T21:26:11.076,2.6117,JOYAXISMOTION,,5,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.127,2.6619,JOYAXISMOTION,,5,1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
2026-06-17T21:26:11.177,2.7121,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
2026-06-17T21:26:11.227,2.7623,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, 1.0]","[[0, 0]]"
2026-06-17T21:26:11.277,2.8126,JOYAXISMOTION,,5,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.327,2.8628,JOYAXISMOTION,,2,1.0,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.378,2.913,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.428,2.9631,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.478,3.0134,JOYAXISMOTION,,2,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.528,3.0636,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.578,3.1138,JOYAXISMOTION,,2,1.0,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.629,3.164,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.679,3.2142,,,,,,[],"[0.0, 0.0, 1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.729,3.2644,JOYAXISMOTION,,2,-1.0,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.779,3.3146,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.829,3.3648,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.880,3.415,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.930,3.4651,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:11.980,3.5154,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
2026-06-17T21:26:12.030,3.5655,,,,,,[],"[0.0, 0.0, -1.0, 0.0, -0.0, -1.0]","[[0, 0]]"
